class,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,x21,y21,z21,v21,x22,y22,z22,v22,x23,y23,z23,v23,x24,y24,z24,v24,x25,y25,z25,v25,x26,y26,z26,v26,x27,y27,z27,v27,x28,y28,z28,v28,x29,y29,z29,v29,x30,y30,z30,v30,x31,y31,z31,v31,x32,y32,z32,v32,x33,y33,z33,v33
0,0.559476614,0.801142335,-0.923527062,0.999171615,0.570418358,0.778711915,-0.921205699,0.999481022,0.578074396,0.773410022,-0.921182513,0.999494791,0.584890485,0.767302215,-0.921298206,0.999493361,0.547409892,0.781273425,-0.926038623,0.999362648,0.539582849,0.777886212,-0.926162243,0.999312103,0.532120883,0.773896635,-0.926322162,0.999298871,0.600032806,0.727235258,-0.792368233,0.999617815,0.515289843,0.742364347,-0.804830194,0.999410987,0.571592212,0.796122968,-0.857916057,0.999563456,0.547887802,0.798240006,-0.86317271,0.999569535,0.66189146,0.746726453,-0.613350749,0.99912852,0.454237074,0.735876739,-0.641484797,0.998749971,0.643181324,0.965284705,-0.623163223,0.91008085,0.464945555,0.961629272,-0.646584034,0.939489186,0.623536408,1.145266652,-0.733235478,0.840972185,0.461902797,1.137195945,-0.738795161,0.889872432,0.635849297,1.178659916,-0.802274227,0.752837241,0.445589155,1.167786479,-0.812176228,0.81888473,0.609481812,1.172744155,-0.835026622,0.788173616,0.468886763,1.166841626,-0.8362602,0.852210224,0.598989785,1.160009146,-0.751912713,0.799242079,0.482338011,1.153396606,-0.754364073,0.854129374,0.609159648,0.694267333,-3.16E-06,0.99835068,0.505418181,0.685116351,-2.76E-05,0.998264372,0.696606874,0.903288722,-0.143357724,0.484083772,0.496887296,0.872959316,-0.084725991,0.437089622,0.587653399,0.843651712,0.260074943,0.064086817,0.55421418,0.828582704,0.25544402,0.079684719,0.569720745,0.805288255,0.313410938,0.065315075,0.549599767,0.799777627,0.304161757,0.063763849,0.549589932,0.864950597,0.326376408,0.081901804,0.595412433,0.841403008,0.322212279,0.092942126
0,0.555685103,0.529453993,-1.008607984,0.99920857,0.566583514,0.498462707,-1.007326722,0.998934865,0.574178874,0.495962769,-1.007218838,0.998893201,0.580669165,0.493730754,-1.007433534,0.998500884,0.541326344,0.50193876,-1.00533843,0.99867487,0.534067869,0.501024246,-1.005561233,0.998690844,0.527525663,0.499388427,-1.005891442,0.998438597,0.59482491,0.482920349,-0.845223069,0.998648345,0.517332733,0.497833282,-0.831487477,0.999027073,0.57008481,0.546323717,-0.945430279,0.999612212,0.545049548,0.550987482,-0.94121933,0.999651909,0.656683683,0.558148265,-0.682342649,0.99942404,0.467737913,0.572574019,-0.692168295,0.998746455,0.673191488,0.749782145,-0.736224055,0.957872689,0.458387911,0.792395949,-0.738577127,0.9698686,0.664838493,0.944817245,-0.828094959,0.922621131,0.466778368,0.982838631,-0.838524044,0.940266132,0.675349772,0.988355279,-0.889085174,0.861258328,0.455248356,1.036645532,-0.906123042,0.886490405,0.655606151,0.991810679,-0.905932069,0.879782856,0.481650442,1.031713128,-0.930426419,0.906385064,0.641070545,0.97515738,-0.837739646,0.880482018,0.483029753,0.994297087,-0.852480888,0.900443256,0.618335128,0.73863405,0.008110539,0.999021173,0.519845307,0.737490416,-0.008133105,0.998350859,0.638027608,0.921989501,-0.266272008,0.540125549,0.512983561,0.946520269,-0.236626223,0.525090456,0.611397982,1.040027976,0.204931974,0.040317867,0.536198556,1.029151678,0.215453386,0.042509463,0.603037596,1.048865914,0.244296387,0.041600019,0.542942762,1.036404252,0.25466609,0.036302093,0.622472465,1.127502203,0.090204731,0.05002743,0.537166655,1.106791019,0.104682669,0.056935485
0,0.555508971,0.528441608,-1.016353488,0.999207437,0.566281676,0.496054202,-1.003779531,0.998881161,0.573874414,0.493496686,-1.003842115,0.998835325,0.580432773,0.491075367,-1.004051447,0.998416185,0.541191339,0.49946478,-1.001017332,0.998589635,0.534032702,0.498788446,-1.001184225,0.99860847,0.527626991,0.497461438,-1.001410484,0.998345494,0.594805837,0.481397003,-0.846173584,0.998532593,0.518653095,0.488329142,-0.831475854,0.998960197,0.570099711,0.546164513,-0.951011062,0.999598324,0.545100212,0.549977124,-0.946416199,0.999642015,0.656792521,0.558181584,-0.679510772,0.99943614,0.468123138,0.572055697,-0.688648522,0.998723567,0.673763692,0.751699507,-0.733694792,0.961516142,0.458575964,0.792281508,-0.739951432,0.972320616,0.666214883,0.947192132,-0.834984899,0.928091228,0.466089964,0.985109627,-0.841405034,0.943203092,0.678886473,0.990278542,-0.898211956,0.867586195,0.455331743,1.035194278,-0.906432271,0.88825351,0.659682631,0.992321253,-0.91605252,0.885140419,0.481782377,1.032116771,-0.930543244,0.907537878,0.646222234,0.972108662,-0.845784664,0.884678125,0.479451835,0.997386277,-0.855362535,0.900594294,0.61807549,0.737588346,0.007120308,0.999051332,0.519841075,0.73292321,-0.007100714,0.998259485,0.638519943,0.92151916,-0.24464424,0.515179157,0.513452411,0.943825006,-0.197818592,0.502211034,0.608547807,1.026451468,0.276667833,0.039569598,0.53679502,1.01274538,0.294096738,0.03956553,0.602735639,1.028306246,0.318442523,0.040971078,0.54295826,1.013717055,0.340863496,0.03408549,0.609426022,1.111232996,0.190137789,0.048347607,0.543934762,1.086763978,0.188833237,0.052818414
0,0.555628955,0.493358344,-1.004880071,0.999212325,0.566431522,0.456661254,-0.993602157,0.998864055,0.574026585,0.454549789,-0.993668437,0.998816013,0.580540657,0.451154917,-0.993840873,0.998400569,0.54202503,0.460266143,-0.992508888,0.998558044,0.535213113,0.459700733,-0.992645383,0.998566568,0.529168546,0.456507742,-0.992826819,0.998287916,0.595573962,0.442508787,-0.844425082,0.998509526,0.518933773,0.454499215,-0.83536607,0.998812795,0.57012856,0.507601619,-0.941766083,0.999598861,0.545597196,0.511134684,-0.939718902,0.999644339,0.656866848,0.514500022,-0.698284566,0.999437392,0.467621326,0.537866592,-0.698125482,0.998629808,0.676700413,0.720237315,-0.769719064,0.965064049,0.459216207,0.765132129,-0.767268658,0.974603057,0.676163077,0.913472712,-0.875278771,0.934232831,0.461992741,0.954053819,-0.868985057,0.946778715,0.687000155,0.960972369,-0.943956077,0.877204776,0.44582814,1.005758524,-0.936739624,0.893650949,0.665731966,0.966944158,-0.962893665,0.893296599,0.461729944,0.991010487,-0.962039292,0.91161257,0.656379998,0.946955919,-0.887236595,0.892224193,0.46950379,0.969489455,-0.884463966,0.903498888,0.618304968,0.681958377,0.007575175,0.99907732,0.519888997,0.685124099,-0.007558913,0.998115838,0.650684476,0.808950305,-0.2293365,0.527613103,0.513250232,0.870627999,-0.115635455,0.492936611,0.616829038,0.859885514,0.306742311,0.041414659,0.531641424,0.89294976,0.329183757,0.038830061,0.604630589,0.854648054,0.356878579,0.042677663,0.537416816,0.890177011,0.370743334,0.032655571,0.63024509,0.943667114,0.255876243,0.049792152,0.53901279,0.959680378,0.253656894,0.050927881
0,0.555848479,0.480916232,-0.97599268,0.999224544,0.566520572,0.444112211,-0.960663021,0.998797715,0.574064374,0.441718191,-0.960728765,0.998750627,0.580806494,0.440148056,-0.960879207,0.998257518,0.542729497,0.4483715,-0.959268689,0.998510301,0.53615886,0.447854817,-0.959387958,0.998536408,0.530447543,0.447010815,-0.959545493,0.998216391,0.596609712,0.435066819,-0.81544131,0.998399079,0.520705879,0.444886506,-0.806004345,0.998744726,0.57050097,0.499958158,-0.916469932,0.999592602,0.545956671,0.501691043,-0.913128734,0.999648929,0.655986965,0.511437178,-0.671187282,0.99938947,0.46732688,0.536803424,-0.686767459,0.998533964,0.677945256,0.714859664,-0.742418349,0.968309104,0.4653593,0.752401173,-0.750463188,0.976852953,0.678477407,0.910543203,-0.808583379,0.939451694,0.460867494,0.946397245,-0.856416345,0.950741708,0.687610924,0.957987905,-0.865949333,0.88460803,0.444853127,1.005271554,-0.922391415,0.900006175,0.667718053,0.963421404,-0.888289154,0.89941138,0.466395855,0.999670029,-0.948634744,0.916661322,0.659549594,0.94291234,-0.819985271,0.898225725,0.46828717,0.972769856,-0.872534275,0.908509254,0.616962314,0.687045932,0.009467205,0.999105096,0.520209312,0.684309781,-0.009431122,0.998111784,0.651256502,0.848269045,-0.227140114,0.546112359,0.512150884,0.878399193,-0.123620287,0.497726589,0.620754182,0.890210986,0.331023633,0.042600129,0.525945127,0.913003623,0.307517916,0.042866714,0.607585907,0.88323158,0.38385272,0.044552878,0.533506036,0.911628485,0.349965423,0.033995226,0.634340703,0.967915595,0.298364758,0.049267747,0.52555716,0.979392707,0.246580526,0.051492639
0,0.551873803,0.423895717,-0.852684975,0.999285936,0.561980903,0.391123235,-0.837255001,0.998892725,0.569707453,0.388565898,-0.83730948,0.998839021,0.576711297,0.38620469,-0.837440848,0.998396873,0.540493608,0.39446485,-0.835501969,0.998632908,0.534456313,0.394009739,-0.835614026,0.998646379,0.529055536,0.393376857,-0.83574456,0.998358667,0.593832135,0.381265908,-0.711789846,0.998499393,0.52066803,0.389969736,-0.703045905,0.998796403,0.567511559,0.444033116,-0.802028537,0.999624193,0.544084668,0.446588814,-0.799065948,0.999677479,0.656032085,0.481644839,-0.605081439,0.999411881,0.472520679,0.498198181,-0.60890758,0.998441756,0.679454744,0.700909734,-0.657470524,0.971277833,0.476550877,0.723774552,-0.64874506,0.976987302,0.676355004,0.907023311,-0.731052458,0.944467902,0.461793721,0.927048743,-0.719775617,0.950332344,0.68811816,0.954474509,-0.786903799,0.892532945,0.457756937,0.983408332,-0.782372057,0.896943152,0.668638825,0.958468616,-0.811219573,0.906089425,0.468375683,0.976024806,-0.805787921,0.913894296,0.659800708,0.939446807,-0.743335068,0.904837489,0.468856484,0.954050481,-0.733748496,0.907000482,0.6205585,0.670396566,0.008990734,0.999189317,0.524868906,0.665773571,-0.009029461,0.998278081,0.666168332,0.817396522,-0.134988517,0.547921717,0.512901306,0.811315417,-0.079253621,0.490585446,0.629675269,0.777140439,0.378193438,0.041163199,0.52814281,0.789970517,0.323965609,0.042466976,0.617414832,0.759410322,0.430701345,0.042445157,0.535907149,0.782151222,0.365485907,0.0325558,0.635646224,0.822391689,0.401487738,0.047179084,0.535993457,0.831806004,0.31281358,0.050479945
0,0.556900263,0.389922738,-0.747636914,0.999130905,0.569149613,0.355445027,-0.734952807,0.998310328,0.578277886,0.354271472,-0.735009909,0.998047888,0.587345064,0.353175849,-0.735205293,0.997769654,0.545848966,0.356094927,-0.729037523,0.997994602,0.537826836,0.355316013,-0.729112685,0.997769594,0.530299306,0.354606748,-0.729254305,0.99759531,0.602498114,0.354204386,-0.622147262,0.997470915,0.521717787,0.356416851,-0.594910562,0.997440338,0.567700863,0.417557836,-0.701401055,0.999560654,0.545592248,0.412348539,-0.693373144,0.999645531,0.656039596,0.445701092,-0.523303568,0.999324441,0.476639092,0.454505265,-0.480529785,0.998111963,0.688254654,0.656215847,-0.544415116,0.973670661,0.481534243,0.675553977,-0.482147694,0.973334789,0.680654824,0.870296717,-0.559566557,0.947474778,0.462294668,0.873434246,-0.517612159,0.943171322,0.691153049,0.915754616,-0.60140276,0.894726813,0.469937623,0.913555741,-0.557544351,0.878944039,0.672037065,0.921565115,-0.621701837,0.907527745,0.469397128,0.923463464,-0.579537868,0.897250473,0.667498469,0.899843514,-0.567290902,0.906184554,0.504541218,0.896595716,-0.528303564,0.892471731,0.626241267,0.619140506,0.008734461,0.999165356,0.533502936,0.618492365,-0.008782373,0.998298049,0.664910734,0.747013986,-0.310739309,0.530240476,0.511993766,0.720248222,-0.324821264,0.475907207,0.640269279,0.809522808,0.133642703,0.043071169,0.504877508,0.834836245,-0.004506831,0.063992061,0.630374551,0.811078072,0.174748272,0.043097261,0.513491154,0.847173989,0.024790987,0.041220486,0.654837668,0.875806987,0.080524184,0.047572888,0.481027454,0.901179194,-0.109452069,0.064407729
0,0.552800775,0.427747667,-0.738244176,0.999123156,0.569237947,0.382906467,-0.735762537,0.998202264,0.578233361,0.381451607,-0.735804319,0.997938335,0.587084711,0.380096346,-0.736025929,0.99766022,0.543036342,0.394417167,-0.728536129,0.997915506,0.537940681,0.381924748,-0.728571117,0.997676194,0.530295968,0.380707711,-0.728704333,0.997500658,0.602164268,0.37231195,-0.642727852,0.997274637,0.521968961,0.373556495,-0.611503124,0.997241497,0.565474868,0.447525829,-0.695973814,0.999539733,0.545243084,0.44208318,-0.686921299,0.999651074,0.654531837,0.442501336,-0.53463459,0.999348819,0.482788622,0.445993066,-0.475207984,0.998210609,0.687969744,0.644367218,-0.539024293,0.975945413,0.48769778,0.656953454,-0.457354307,0.967512786,0.678209245,0.860598445,-0.549726307,0.951169372,0.483375728,0.831195235,-0.492389143,0.936470687,0.6880669,0.913094878,-0.594491541,0.898250699,0.471980512,0.872642279,-0.527226031,0.862222493,0.668821275,0.917004287,-0.608152747,0.910660625,0.485547155,0.874600708,-0.552787125,0.883538485,0.662692189,0.891836584,-0.55498594,0.908391297,0.504958332,0.858884037,-0.50371033,0.878779292,0.626942396,0.59179318,0.003607773,0.999220252,0.538375795,0.586153209,-0.003633166,0.99845773,0.655627549,0.741968751,-0.045592472,0.51445967,0.511419356,0.69579941,-0.289817423,0.487961531,0.636224031,0.79284209,0.477018595,0.042743307,0.507187307,0.814029515,-0.033758517,0.089459009,0.626677155,0.792248607,0.526581824,0.041981082,0.515456796,0.830954134,-0.009864396,0.047997512,0.649353564,0.864117622,0.462714434,0.046318006,0.487284094,0.882993519,-0.133078203,0.086768106
1,0.573129654,0.169038758,-0.808138072,0.999540746,0.581836462,0.153220385,-0.775618613,0.998704135,0.588631332,0.154081881,-0.775715053,0.998630345,0.595227122,0.155331135,-0.775846481,0.998378575,0.562010944,0.153284386,-0.780651748,0.998436928,0.554103553,0.154682204,-0.780852675,0.998405337,0.546155095,0.156890005,-0.78101474,0.998036325,0.606212795,0.17871967,-0.620452046,0.997825325,0.526058435,0.189834028,-0.643175006,0.997625411,0.585635066,0.201840535,-0.751287103,0.9997316,0.559341133,0.201328069,-0.759457409,0.999776959,0.661016047,0.332958162,-0.512111902,0.999339879,0.474252224,0.360559791,-0.564207017,0.995994925,0.668228984,0.556373358,-0.483225346,0.986547768,0.488323629,0.566350996,-0.536402583,0.97864449,0.660674691,0.75156337,-0.531582177,0.959585845,0.466208756,0.749956489,-0.57401979,0.95101732,0.670500398,0.800648868,-0.585607648,0.899882734,0.453913391,0.795147777,-0.626080692,0.884921551,0.645324409,0.798177719,-0.602913737,0.906026423,0.46845454,0.79734993,-0.660369098,0.898418427,0.639247179,0.780660748,-0.542877614,0.905392349,0.472896725,0.781255066,-0.592943549,0.895071268,0.629044473,0.55470407,-0.007224263,0.999620497,0.531250775,0.56554234,0.007134824,0.999222815,0.644568264,0.721646667,0.2128793,0.526536703,0.539417684,0.746877789,0.229324222,0.43253538,0.639457583,0.836344838,0.70691669,0.204210252,0.546912432,0.860031188,0.68287909,0.212623283,0.633687913,0.846767366,0.749665201,0.143382311,0.556528687,0.871007621,0.723412216,0.127622843,0.665172517,0.91278249,0.626603723,0.179940522,0.531270564,0.937710941,0.565716922,0.195931911
1,0.577144802,0.1740648,-0.569804728,0.99960959,0.586993277,0.159873813,-0.537965894,0.999013364,0.59303689,0.161011621,-0.538184404,0.998942375,0.599178553,0.162597612,-0.53836298,0.99889636,0.568892121,0.16117309,-0.534326017,0.998848796,0.562258005,0.163092464,-0.534392476,0.998745561,0.556095362,0.165480793,-0.534619212,0.99863559,0.607164204,0.184746265,-0.34493199,0.998558581,0.541790068,0.190556422,-0.326792747,0.998159349,0.589547455,0.200833187,-0.497912943,0.999795973,0.565793276,0.200632572,-0.493006647,0.999765396,0.680364907,0.340959519,-0.236556977,0.999484479,0.490369976,0.345842838,-0.186411709,0.998043954,0.679712951,0.545942903,-0.139663175,0.982440233,0.480393082,0.535784721,-0.079283707,0.973970413,0.665247738,0.729089856,-0.280381978,0.935624242,0.441848338,0.702247858,-0.224825978,0.923882902,0.672026694,0.775375426,-0.338573903,0.870385408,0.427520841,0.747931838,-0.272622973,0.8495242,0.656763732,0.776746035,-0.386197507,0.875549972,0.434323311,0.75020951,-0.341643751,0.863215566,0.651088476,0.758972943,-0.301098049,0.877642691,0.440377235,0.737613499,-0.256004155,0.867819369,0.632595301,0.707870066,-0.023048388,0.998567879,0.519561768,0.700779319,0.023184601,0.998496294,0.642000437,0.939181924,0.008763989,0.624985278,0.509668946,0.933709502,0.069237962,0.610901773,0.626132548,1.129708529,0.568503261,0.218717292,0.508831561,1.143517733,0.525882483,0.261494607,0.62079978,1.150385737,0.615162194,0.160084873,0.512785852,1.171417713,0.56434381,0.204554111,0.630207062,1.213219881,0.424717426,0.151292652,0.501871109,1.218288422,0.338140994,0.208732262
