class,x0,y0,z0,v0,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,x21,y21,z21,v21,x22,y22,z22,v22,x23,y23,z23,v23,x24,y24,z24,v24,x25,y25,z25,v25,x26,y26,z26,v26,x27,y27,z27,v27,x28,y28,z28,v28,x29,y29,z29,v29,x30,y30,z30,v30,x31,y31,z31,v31,x32,y32,z32,v32
-1,0.584024608,0.159793437,-0.292717218,0.999986529,0.594313025,0.141253784,-0.266716212,0.999959826,0.600919187,0.142009437,-0.266796172,0.999962628,0.606616378,0.143064782,-0.266885757,0.999961555,0.576808274,0.140603632,-0.265972018,0.999960363,0.571687818,0.140515193,-0.26598075,0.999960959,0.566163182,0.141037911,-0.265997559,0.999959052,0.615526795,0.157037914,-0.114100017,0.999948025,0.560992837,0.155989796,-0.114802241,0.999946773,0.597726882,0.183894306,-0.235934064,0.999984741,0.57311976,0.182259426,-0.236007527,0.999983132,0.672066927,0.289712489,-0.036015235,0.999962389,0.511560798,0.286037952,-0.025287753,0.999941528,0.701912999,0.439581484,0.024413304,0.993923843,0.4676148,0.425238907,-0.046748348,0.9847489,0.718276858,0.579475164,-0.118289188,0.986717463,0.469768375,0.504883945,-0.284923255,0.96205467,0.723765135,0.624829173,-0.164316505,0.970204651,0.473510653,0.542595267,-0.336642891,0.933450341,0.716318846,0.622784019,-0.208715826,0.973106444,0.482950062,0.530216455,-0.373444825,0.937687635,0.710798383,0.612605274,-0.138142496,0.96964258,0.484022677,0.515162528,-0.305245966,0.934008777,0.637125552,0.597508669,-3.85E-05,0.996806383,0.55030787,0.599510372,0.000214785,0.997335732,0.63178885,0.837014496,-0.052024506,0.890651464,0.564201176,0.845203698,-0.053626083,0.876634419,0.629629493,1.012853265,0.156859681,0.67015785,0.568004966,1.014915109,0.113977805,0.630875409,0.623884797,1.078713536,0.165920779,0.386835843,0.582086682,1.083547115,0.121013954,0.304273546,0.627602935,1.135382295,-0.009952662,0.539157987,0.574862242,1.139199615,-0.073453799,0.502346396
-1,0.584041536,0.159849152,-0.27685374,0.99998486,0.594403028,0.141270906,-0.250709593,0.999958336,0.601043046,0.142036065,-0.250792086,0.999961197,0.606702328,0.143100962,-0.250892818,0.999960124,0.576821804,0.140622109,-0.249685258,0.999958098,0.571694732,0.140531912,-0.249691889,0.999958575,0.566163957,0.141026497,-0.249694258,0.99995625,0.615553498,0.157060519,-0.094062053,0.999948621,0.560850143,0.155893132,-0.094020978,0.999943852,0.597730041,0.183984816,-0.21855481,0.999983609,0.573097825,0.182290569,-0.218396306,0.999981523,0.672067583,0.289037108,-0.01740131,0.999960482,0.51131618,0.286376327,0.001020169,0.99991399,0.704941332,0.433273435,0.034019463,0.993807316,0.465914965,0.423945636,-0.100625873,0.981333137,0.713997543,0.569990814,-0.102669552,0.98632741,0.469785154,0.456321448,-0.445219696,0.956328213,0.716983676,0.616091073,-0.147837475,0.96923703,0.473274708,0.482097417,-0.511379719,0.926486015,0.705825567,0.611124098,-0.187756389,0.972192109,0.48190093,0.465655357,-0.536157787,0.930860877,0.700518727,0.596612096,-0.119490623,0.968579352,0.483633995,0.457704037,-0.463323921,0.926214397,0.637091875,0.59828198,0.000136647,0.99679178,0.550308585,0.59962821,5.68E-05,0.997178793,0.6318326,0.838398695,-0.053950049,0.889341772,0.563122749,0.851052344,-0.054677207,0.871007025,0.629577041,1.052765727,0.16180858,0.666821539,0.566316903,1.017026544,0.114405215,0.626333833,0.623799086,1.084097505,0.172074795,0.386612296,0.579967141,1.086664677,0.12156336,0.301967233,0.628242612,1.138702154,-0.008001553,0.532657444,0.572806418,1.140931964,-0.073748097,0.494411677
-1,0.583170593,0.160286114,-0.20690611,0.999984562,0.594191909,0.141636327,-0.182152122,0.999959409,0.600828767,0.142490566,-0.182248905,0.999962151,0.606595755,0.14368251,-0.18239601,0.999960959,0.576753378,0.140768692,-0.178339764,0.999959111,0.571671486,0.140595272,-0.178319693,0.999959588,0.566163957,0.141033456,-0.178267151,0.999957442,0.615527213,0.157463625,-0.035582129,0.999951363,0.561052442,0.15578796,-0.020952929,0.999945104,0.596584558,0.184481144,-0.151804388,0.99998337,0.572091699,0.182319358,-0.147373289,0.999981165,0.672022223,0.288787067,0.027806643,0.99996078,0.511166215,0.286401391,0.075767569,0.999893963,0.711380184,0.42441681,0.060898412,0.993679702,0.460566819,0.42377463,-0.085775852,0.980468333,0.705925524,0.532538772,-0.069460861,0.985832632,0.474385798,0.380851209,-0.434101254,0.958558023,0.703087926,0.57189548,-0.110580124,0.967956126,0.484264791,0.360618681,-0.505882204,0.9294101,0.690322876,0.565145731,-0.142926008,0.97089076,0.491458356,0.33838585,-0.509014249,0.933218658,0.687487066,0.552613676,-0.081810869,0.966962934,0.491879165,0.343909621,-0.443692595,0.927875042,0.636603713,0.598253787,-0.004112643,0.996857584,0.550336957,0.59853977,0.004342785,0.997032404,0.631331265,0.841254413,-0.074229904,0.890999258,0.562225997,0.852997899,-0.044163208,0.867757857,0.62896812,1.074139357,0.147991508,0.665258527,0.566330433,1.023235917,0.140093356,0.623902678,0.623693168,1.097944617,0.159056649,0.381514519,0.579777062,1.093513489,0.149850592,0.302420437,0.627014816,1.153366685,-0.019949708,0.523825347,0.569783807,1.148248792,-0.035656363,0.487499267
-1,0.582440138,0.16097407,-0.242284507,0.99992466,0.594153583,0.142743558,-0.218062669,0.999875963,0.600790739,0.144031957,-0.218189552,0.999874592,0.606588662,0.145794004,-0.218389064,0.999871731,0.576752782,0.141138718,-0.215471476,0.999885619,0.571725667,0.14078413,-0.215463042,0.999887407,0.566406786,0.141064212,-0.215468124,0.999899685,0.615644932,0.15898861,-0.062368058,0.999880314,0.562297165,0.155737489,-0.050225802,0.99987334,0.595722079,0.185074329,-0.183094323,0.99994123,0.571486712,0.182363495,-0.179465443,0.999942005,0.671931684,0.287685961,0.022126123,0.9998734,0.511155009,0.286843151,0.061077021,0.999788344,0.715120792,0.420797437,-0.03285113,0.989105999,0.456705034,0.418721616,-0.085895643,0.977163732,0.696710229,0.444693983,-0.276994497,0.964468718,0.475496113,0.357260585,-0.44523868,0.954513192,0.689920247,0.459681332,-0.33069554,0.934594691,0.487546355,0.337061524,-0.512482762,0.92221868,0.682270646,0.437489688,-0.33691898,0.937392354,0.492685258,0.31956768,-0.510132849,0.925137222,0.679428637,0.427146137,-0.283111155,0.931178689,0.492610782,0.329359114,-0.452667564,0.917381883,0.636786222,0.596392751,-0.00488427,0.995666444,0.55049485,0.597663343,0.005173187,0.995776296,0.630770147,0.842836142,-0.076109238,0.892031252,0.56221348,0.855041087,-0.050677799,0.867974639,0.629104912,1.043861389,0.168152854,0.667378485,0.566982388,1.023082376,0.13569276,0.629404426,0.621964276,1.093576074,0.183391213,0.382048249,0.579792857,1.093075156,0.145155028,0.307991803,0.625521541,1.151538968,0.001270168,0.521876633,0.570016861,1.148660064,-0.045839377,0.488957494
-1,0.581425548,0.16100803,-0.258504599,0.999879718,0.593836367,0.142961785,-0.234975666,0.999811888,0.600405097,0.144317016,-0.235098436,0.999806821,0.606354237,0.146175891,-0.235289052,0.999800563,0.576681495,0.14116779,-0.232075781,0.999829292,0.571724772,0.140801772,-0.232068747,0.999831975,0.566466749,0.141044319,-0.232080266,0.999854386,0.615647256,0.159417972,-0.079691298,0.999822736,0.563081264,0.155614793,-0.065942794,0.999818921,0.594531238,0.185134709,-0.199442387,0.999912322,0.570664585,0.182371899,-0.195318952,0.999915421,0.67186588,0.287215561,0.010289709,0.9998101,0.511135936,0.287104309,0.047192324,0.999721646,0.716725588,0.418850213,-0.055845868,0.986038268,0.455193132,0.416574657,-0.093431786,0.974978685,0.694532037,0.431797534,-0.304179311,0.949702382,0.476303577,0.356526047,-0.452871948,0.952163219,0.688346505,0.450671136,-0.358303607,0.909368098,0.488961458,0.337110966,-0.518939614,0.917598307,0.680079639,0.425881267,-0.364491224,0.911938965,0.493397653,0.319859713,-0.516203761,0.919689834,0.679174185,0.422523081,-0.310287386,0.903612316,0.493089855,0.3293899,-0.459888369,0.9099105,0.636838078,0.595344484,-0.004793637,0.994772077,0.550620258,0.596919715,0.005084152,0.994850278,0.630031228,0.843665302,-0.071283869,0.892916441,0.562227368,0.854709625,-0.050543696,0.869483829,0.629098356,1.027544856,0.181617111,0.671221733,0.567723274,1.022379637,0.140490681,0.63629657,0.620581746,1.08915019,0.196928874,0.387492418,0.579974055,1.090446115,0.15065068,0.315177143,0.625584364,1.149820805,0.015583279,0.523162603,0.570213199,1.148323655,-0.043509938,0.492799699
-1,0.600060999,0.160521984,-0.39360112,0.999993324,0.609607577,0.140791357,-0.372926801,0.999982953,0.614156842,0.141675219,-0.3730129,0.999983132,0.618997574,0.142602026,-0.37310794,0.999983668,0.592699409,0.137822405,-0.372055143,0.999977052,0.586640477,0.137178108,-0.372032315,0.999974489,0.581273198,0.136560008,-0.372051895,0.999974251,0.628251255,0.151320547,-0.219810873,0.999981523,0.573701322,0.146926358,-0.219083935,0.999969423,0.610825419,0.183128968,-0.333466977,0.999992728,0.588814855,0.181209773,-0.333085537,0.999989092,0.682776093,0.279001623,-0.112531088,0.999985933,0.521394789,0.270883858,-0.110978663,0.999957979,0.715585113,0.437562197,-0.028114155,0.996875942,0.488768816,0.433316737,-0.052992024,0.991978288,0.755569339,0.573651373,-0.193027824,0.99500984,0.45701319,0.57753545,-0.210737824,0.988601148,0.769593537,0.617521822,-0.240927219,0.987296104,0.440909386,0.621660233,-0.255520701,0.975691974,0.762843251,0.614305913,-0.298408478,0.98887378,0.448180139,0.619998991,-0.316346884,0.977434456,0.757423639,0.603699684,-0.21971567,0.987465918,0.457313687,0.610618949,-0.238710523,0.974944234,0.639421582,0.594210804,-0.001317512,0.997899055,0.553098559,0.593422771,0.001496582,0.997615278,0.632073641,0.846200228,-0.068348005,0.879616678,0.559402108,0.842252314,-0.050451148,0.85885334,0.630327642,1.079538822,0.122257188,0.614397109,0.56935966,1.064834118,0.117188513,0.584532976,0.626643836,1.105229616,0.130369812,0.362507313,0.574339867,1.094169259,0.124839842,0.292659402,0.627524555,1.157587051,-0.043392953,0.487262636,0.573062301,1.149064183,-0.065388583,0.474229097
-1,0.591250718,0.178539798,-0.328587025,0.999994695,0.601921856,0.156519726,-0.310847819,0.999983907,0.607230365,0.156561792,-0.310957462,0.999984682,0.612651527,0.156522244,-0.311073363,0.999984264,0.588625968,0.155299917,-0.308377475,0.999981105,0.584657371,0.154656082,-0.308354825,0.99998045,0.580277324,0.15414539,-0.308380902,0.999979734,0.621732056,0.15819329,-0.163770184,0.999980807,0.57521528,0.157993078,-0.152894348,0.999975324,0.602591634,0.198898256,-0.269451201,0.999993682,0.583159745,0.198207721,-0.265619129,0.999992013,0.68308419,0.278533459,-0.058208298,0.999989808,0.521354556,0.271545023,-0.049639795,0.99997443,0.720097899,0.438803941,0.009425972,0.99680233,0.488352239,0.43256712,-0.001012664,0.990504622,0.765403628,0.570829511,-0.161664337,0.995084345,0.451240301,0.574965656,-0.173201889,0.987789452,0.777911186,0.612269938,-0.211482614,0.987676144,0.438618839,0.61828053,-0.221382692,0.976165533,0.772864103,0.607736349,-0.26878643,0.989385247,0.442863941,0.616315484,-0.282661587,0.978503823,0.766946912,0.594599605,-0.188619286,0.987933099,0.449748367,0.606278241,-0.202181816,0.975688577,0.640838146,0.5954445,-0.000635879,0.997712374,0.554544091,0.594504058,0.000900314,0.997355461,0.631816268,0.847635508,-0.067402139,0.879176438,0.56373316,0.846596837,-0.073522605,0.864727974,0.629453599,1.083001614,0.111830436,0.617402911,0.566049457,1.075630069,0.066742003,0.587424815,0.62486583,1.109862566,0.119061172,0.365666062,0.571297884,1.102653384,0.071143605,0.282564968,0.626084089,1.162945986,-0.053692468,0.485788107,0.573807538,1.160229921,-0.120238625,0.466362536
-1,0.590559661,0.179113835,-0.332510293,0.999994814,0.601434171,0.157098323,-0.314617097,0.999984145,0.606846392,0.157177389,-0.314726382,0.99998492,0.612339914,0.157174498,-0.314841121,0.999984443,0.587970197,0.155838892,-0.312418759,0.999981523,0.584100902,0.155197144,-0.31239751,0.999980986,0.579845309,0.154662609,-0.312422961,0.999980211,0.621390164,0.158806026,-0.165711567,0.999980986,0.575196803,0.158395752,-0.156809524,0.99997586,0.602046728,0.199586451,-0.273197025,0.999993801,0.582377493,0.198835582,-0.269398749,0.999992251,0.683034003,0.278530121,-0.061202358,0.999990165,0.521276832,0.271577865,-0.051676147,0.999975801,0.720172048,0.438754767,0.007477612,0.996834815,0.488105208,0.432492524,-0.002073169,0.990460157,0.765659869,0.570257008,-0.162222758,0.995166957,0.450687498,0.574926019,-0.174639627,0.987834036,0.778247178,0.611638844,-0.211921647,0.987863243,0.438410431,0.618092,-0.222803667,0.976351321,0.773131788,0.607031047,-0.271188587,0.989561856,0.442487419,0.616052747,-0.284289777,0.978718221,0.767202914,0.593761861,-0.189049602,0.988115549,0.449262291,0.60605377,-0.203709081,0.975885868,0.640838265,0.59549278,-0.000647106,0.997714102,0.554521561,0.594494224,0.000910637,0.997367859,0.631879568,0.847621381,-0.067547828,0.879867733,0.564050317,0.846606374,-0.073395662,0.867244005,0.629325747,1.083490729,0.111731961,0.620270729,0.566106915,1.077654243,0.067225672,0.592878819,0.624641716,1.110442758,0.119085513,0.36901927,0.571094632,1.103719831,0.071669348,0.284851223,0.626081884,1.16346395,-0.054151725,0.489061922,0.573734045,1.161298156,-0.120103575,0.47073698
-1,0.590431213,0.178767502,-0.35932225,0.999995053,0.601400256,0.1568086,-0.343614101,0.99998486,0.606877983,0.156900793,-0.343721896,0.999985635,0.612362742,0.156925485,-0.343832463,0.999985099,0.587480724,0.155521154,-0.339882314,0.999982417,0.583494544,0.154877022,-0.339862108,0.99998194,0.57913053,0.154319257,-0.339882106,0.999981105,0.621312022,0.158791825,-0.198710293,0.999981821,0.574748695,0.158297986,-0.183352947,0.999976933,0.60211122,0.199431717,-0.300726891,0.999994099,0.581905961,0.198603258,-0.295873851,0.999992669,0.683002532,0.278584361,-0.092062771,0.999990523,0.520886004,0.271943063,-0.072549827,0.999976873,0.720220089,0.438708007,-0.024164189,0.996914744,0.487468183,0.4323861,-0.015322345,0.99050957,0.765655637,0.569766939,-0.199315608,0.995322466,0.450222194,0.574864626,-0.181720957,0.987999141,0.778505981,0.611166239,-0.249509141,0.988210678,0.438205063,0.618082047,-0.228016287,0.976670802,0.773299932,0.606587589,-0.310581058,0.98987335,0.442059606,0.616004288,-0.289923847,0.979048789,0.767316461,0.593313456,-0.227425337,0.988470078,0.448687732,0.605958879,-0.210943729,0.976262629,0.640738845,0.595501661,-0.001013301,0.997708678,0.55436933,0.594496131,0.001268594,0.997374833,0.631904304,0.847757638,-0.06790822,0.878740728,0.564066768,0.846597135,-0.071163371,0.868389308,0.629324436,1.083040237,0.11205747,0.617656589,0.566547155,1.076210141,0.070529297,0.595228136,0.624641955,1.109662533,0.119267419,0.370169491,0.571128964,1.103638768,0.075346217,0.287040889,0.626462698,1.162626863,-0.051126234,0.487609416,0.573461652,1.16072917,-0.116319999,0.472454071
-1,0.590569079,0.178527683,-0.384322971,0.999995291,0.601551414,0.156629786,-0.368606269,0.999985576,0.607215047,0.156762019,-0.368707389,0.999986351,0.612636209,0.156821638,-0.368821979,0.999985814,0.587398648,0.155281737,-0.365596145,0.999983311,0.583267331,0.154632032,-0.365580291,0.999982893,0.578779757,0.154069141,-0.365593553,0.999981999,0.621362567,0.158737138,-0.222033933,0.999982715,0.573929429,0.158219278,-0.209921792,0.999978065,0.602599502,0.199241623,-0.324854761,0.999994397,0.581913352,0.198388472,-0.321141988,0.999993086,0.682994783,0.278649926,-0.110847913,0.999990821,0.520231068,0.272789627,-0.096352078,0.999977827,0.720286846,0.438572794,-0.036415819,0.996977687,0.487025797,0.432391703,-0.03635582,0.990583003,0.765751004,0.569676936,-0.207952902,0.995439112,0.449800313,0.574922562,-0.199837327,0.988164127,0.778686464,0.611068189,-0.25724107,0.988470078,0.438063711,0.618121684,-0.245287374,0.976984084,0.773476303,0.606553018,-0.318615198,0.990107656,0.441847712,0.616012275,-0.307881802,0.979368806,0.767461896,0.593333662,-0.236196682,0.988747537,0.448376715,0.605992913,-0.229099751,0.976631582,0.640606999,0.595511198,-0.001050876,0.997716725,0.554033875,0.594489992,0.001301823,0.997382343,0.631854415,0.847786069,-0.069020554,0.877869427,0.563741326,0.846605003,-0.06777332,0.868764102,0.628900707,1.08288753,0.117661156,0.615535915,0.566719949,1.075279117,0.077414632,0.596413493,0.624087751,1.109071493,0.126170069,0.369942427,0.571161091,1.103499889,0.082654186,0.288236111,0.626415431,1.162598252,-0.043701865,0.486291111,0.572986186,1.160507083,-0.1072184,0.473451406
